Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10382509,1,"Friday, December 30, 2011 19:04:47 UTC",65.8801,-150.4230,1.9,8.20, 9,"northern Alaska"
us,c0007esq,6,"Friday, December 30, 2011 18:49:59 UTC",-19.4226,167.6968,4.9,26.20,35,"Vanuatu region"
ci,11048021,0,"Friday, December 30, 2011 18:30:20 UTC",32.9505,-116.2567,1.4,14.50,42,"Southern California"
ci,11048005,0,"Friday, December 30, 2011 17:42:54 UTC",35.8680,-117.7305,1.4,7.90,27,"Central California"
us,c0007erj,C,"Friday, December 30, 2011 17:29:54 UTC",-32.5170,-178.2261,5.0,9.80,71,"south of the Kermadec Islands"
nc,71702965,1,"Friday, December 30, 2011 17:29:33 UTC",35.7272,-121.0600,2.3,7.80,33,"Central California"
ak,10382339,2,"Friday, December 30, 2011 17:24:29 UTC",58.5565,-156.2774,2.9,200.40,32,"Alaska Peninsula"
ak,10382320,1,"Friday, December 30, 2011 17:13:57 UTC",63.4925,-150.1601,2.9,141.40,41,"Central Alaska"
us,c0007er7,5,"Friday, December 30, 2011 17:07:21 UTC",30.7574,138.4778,5.2,397.90,48,"Izu Islands, Japan region"
mb,11332558,2,"Friday, December 30, 2011 16:38:53 UTC",47.3700,-114.3930,1.6,7.80,13,"western Montana"
us,c0007eqx,5,"Friday, December 30, 2011 16:34:34 UTC",-56.2215,-27.1479,5.2,106.20,59,"South Sandwich Islands region"
ci,11047973,2,"Friday, December 30, 2011 16:32:44 UTC",32.2282,-115.2638,2.7,10.00,16,"Baja California, Mexico"
ci,11047965,0,"Friday, December 30, 2011 16:31:18 UTC",32.9987,-116.3932,2.0,12.60,77,"Southern California"
nc,71702935,3,"Friday, December 30, 2011 16:19:06 UTC",36.6838,-121.3118,2.2,4.40,55,"Central California"
mb,27874,1,"Friday, December 30, 2011 16:09:32 UTC",47.3820,-114.3680,3.2,6.20, 6,"western Montana"
ci,11047957,0,"Friday, December 30, 2011 16:04:30 UTC",35.3078,-118.6070,1.8,7.10,38,"Central California"
ci,11047949,2,"Friday, December 30, 2011 15:55:54 UTC",32.1915,-115.2673,2.8,10.00,15,"Baja California, Mexico"
ci,11047941,2,"Friday, December 30, 2011 15:50:12 UTC",32.1345,-115.2557,3.1,10.00,19,"Baja California, Mexico"
pr,11364001,1,"Friday, December 30, 2011 15:48:23 UTC",18.4661,-64.9560,3.4,72.40,14,"Virgin Islands region"
ci,11047933,7,"Friday, December 30, 2011 15:34:29 UTC",32.1413,-115.2975,4.3,10.00,12,"Baja California, Mexico"
ak,10382281,2,"Friday, December 30, 2011 15:23:58 UTC",60.2196,-152.0005,1.7,73.30,15,"Southern Alaska"
ci,11047925,0,"Friday, December 30, 2011 15:01:34 UTC",32.7943,-116.1420,1.6,10.90,23,"Southern California"
ci,11047917,0,"Friday, December 30, 2011 14:43:22 UTC",33.5033,-116.4895,1.1,15.10,51,"Southern California"
